beachId,beachName,siteName,collectionDate,year,eColi,longitude,latitude
10,Bluffer's Beach Park,50E,2007-07-21,2007,80,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-21,2007,100,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-22,2007,90,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-22,2007,70,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-22,2007,20,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-22,2007,50,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-22,2007,40,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-23,2007,160,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-23,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-23,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-23,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-23,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-24,2007,40,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-24,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-24,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-24,2007,30,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-24,2007,30,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-25,2007,40,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-25,2007,100,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-25,2007,20,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-25,2007,20,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-25,2007,40,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-26,2007,50,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-26,2007,20,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-26,2007,140,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-26,2007,40,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-26,2007,50,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-27,2007,380,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-27,2007,120,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-27,2007,200,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-27,2007,170,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-27,2007,350,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-28,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-28,2007,90,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-28,2007,80,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-28,2007,30,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-28,2007,20,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-29,2007,50,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-29,2007,610,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-29,2007,70,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-29,2007,60,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-29,2007,50,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-30,2007,80,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-30,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-30,2007,50,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-30,2007,120,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-30,2007,150,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-07-31,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-07-31,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-07-31,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-07-31,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-07-31,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-01,2007,40,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-01,2007,300,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-01,2007,190,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-01,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-01,2007,60,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-02,2007,20,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-02,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-02,2007,20,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-02,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-02,2007,30,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-03,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-03,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-03,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-03,2007,30,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-03,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-04,2007,90,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-04,2007,40,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-04,2007,50,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-04,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-04,2007,40,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-06,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-06,2007,140,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-06,2007,210,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-06,2007,290,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-06,2007,140,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-07,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-07,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-07,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-07,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-07,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-08,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-08,2007,40,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-08,2007,20,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-08,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-08,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-09,2007,10,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-09,2007,10,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-09,2007,10,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-09,2007,10,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-09,2007,10,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-10,2007,70,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-10,2007,40,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-10,2007,140,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-10,2007,140,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-10,2007,70,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-11,2007,80,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-11,2007,50,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-11,2007,70,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-11,2007,100,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-11,2007,60,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-12,2007,40,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-12,2007,50,-79.22589,43.71336
10,Bluffer's Beach Park,49E,2007-08-12,2007,40,-79.22575,43.71361
10,Bluffer's Beach Park,50E,2007-08-12,2007,60,-79.22561,43.713917
10,Bluffer's Beach Park,51E,2007-08-12,2007,80,-79.2255,43.71417
10,Bluffer's Beach Park,47E,2007-08-13,2007,130,-79.22606,43.71286
10,Bluffer's Beach Park,48E,2007-08-13,2007,40,-79.22589,43.71336
